arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
BKI,2026-02-13,11:10,MH2612,Malaysia Airlines,2h 45m,"1017 miles, 1636 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,6E 3760 /FY 7646 /HY 7511 /JL 7975 /QF 5166 /QR 5441 /TK 4855,Meal (none specific)
BKI,2026-02-13,11:10,OD1685,Batik Air,1h 35m,"502 miles, 808 km",Boeing 737-800 Passenger,167,,Meal (none specific)
BKI,2026-02-13,11:15,OD1012,Batik Air,2h 35m,"1022 miles, 1644 km",Boeing 737-800 Passenger,167,,Meal (none specific)
BKI,2026-02-13,11:55,AK5136,AirAsia,2h 40m,"1017 miles, 1636 km",Airbus A320neo,186,,Meal (none specific)
BKI,2026-02-13,12:00,AK5302,AirAsia,2h 20m,"908 miles, 1461 km",Airbus A320 (sharklets),180,,Meal (none specific)
BKI,2026-02-13,12:00,AK6078,AirAsia,0h 50m,"181 miles, 291 km",Airbus A320 (sharklets),180,,Meal (none specific)
BKI,2026-02-13,12:15,MH2610,Malaysia Airlines,2h 40m,"1017 miles, 1636 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,6E 3761 /FY 7644 /HY 7583 /QF 5164 /QR 5439 /TK 4845 /WY 5632,Meal (none specific)
BKI,2026-02-13,12:30,AK5112,AirAsia,2h 30m,"1017 miles, 1636 km",Airbus A321neo,236,,Meal (none specific)
BKI,2026-02-13,13:05,MY3252,MAXjet,0h 55m,"158 miles, 254 km",ATR 72,68,,Meal (none specific)
BKI,2026-02-13,13:10,MY3015,MAXjet,0h 55m,"169 miles, 272 km",ATR 72,68,,Meal (none specific)
BKI,2026-02-13,13:35,AK5110,AirAsia,2h 40m,"1017 miles, 1636 km",Airbus A320,180,,Meal (none specific)
BKI,2026-02-13,13:40,AK6273,AirAsia,0h 50m,"182 miles, 293 km",Airbus A320 (sharklets),180,,Meal (none specific)
BKI,2026-02-13,13:55,AK6091,AirAsia,1h 15m,"380 miles, 611 km",Airbus A320 (sharklets),180,,Meal (none specific)
