continent,country,city,airport_name,airport_code
North America,USA,Atqasuk Edward Burnell Sr Memorial,Atqasuk Edward Burnell Sr Memorial,ATK
North America,USA,Augusta,Augusta,AGS
North America,USA,Augusta State,Augusta State,AUG
North America,USA,Austin Straubel,Austin Straubel,GRB
North America,USA,Austin-Bergstrom,Austin-Bergstrom,AUS
North America,USA,Baltimore Washington,Baltimore Washington,BWI
North America,USA,Bangor,Bangor,BGR
North America,USA,Barkley Regional,Barkley Regional,PAH
North America,USA,Barnstable Muni Boardman Polando Fld,Barnstable Muni Boardman Polando Fld,HYA
North America,USA,Barter Island,Barter Island,BTI
North America,USA,Basin,Basin,XWA
North America,USA,Baton Rouge Metro Ryan Fld,Baton Rouge Metro Ryan Fld,BTR
North America,USA,Bellingham,Bellingham,BLI
North America,USA,Bemidji Regional,Bemidji Regional,BJI
North America,USA,Bert Mooney,Bert Mooney,BTM
North America,USA,Bethel,Bethel,BET
North America,USA,Bettles,Bettles,BTT
North America,USA,Billings Logan,Billings Logan,BIL
North America,USA,Birch Creek,Birch Creek,KBC
North America,USA,Birmingham,Birmingham,BHM
North America,USA,Bishop,Bishop,FNT
North America,USA,Bismarck Municipal,Bismarck Municipal,BIS
North America,USA,Bob Baker Memorial,Bob Baker Memorial,IAN
North America,USA,Boeing Fld King Co,Boeing Fld King Co,BFI
North America,USA,Boise Air Terminal,Boise Air Terminal,BOI
North America,USA,Boone Co,Boone Co,HRO
North America,USA,Boston Logan,Boston Logan,BOS
North America,USA,Boulder City Municipal,Boulder City Municipal,BLD
North America,USA,Bradford Regional,Bradford Regional,BFD
North America,USA,Bradley,Bradley,BDL
North America,USA,Brainerd Lakes Rgnl,Brainerd Lakes Rgnl,BRD
North America,USA,Brevig Mission,Brevig Mission,KTS
North America,USA,Brownsville South Padre Island,Brownsville South Padre Island,BRO
North America,USA,Brunswick Golden Isles,Brunswick Golden Isles,BQK
North America,USA,Buckland,Buckland,BKC
North America,USA,Buffalo Niagara,Buffalo Niagara,BUF
North America,USA,Burbank Glendale Pasadena,Burbank Glendale Pasadena,BUR
North America,USA,Burlington,Burlington,BTV
North America,USA,Canyonlands Field,Canyonlands Field,CNY
North America,USA,Cape Girardeau Regional,Cape Girardeau Regional,CGI
North America,USA,Cape Lisburne,Cape Lisburne,LUR
North America,USA,Capital City,Capital City,LAN
North America,USA,Cavern City Air Terminal,Cavern City Air Terminal,CNM
North America,USA,Cedar City Rgnl,Cedar City Rgnl,CDC
North America,USA,Cedar Rapids,Cedar Rapids,CID
North America,USA,Central Illinois Rgnl,Central Illinois Rgnl,BMI
North America,USA,Central Nebraska Regional,Central Nebraska Regional,GRI
North America,USA,Chadron Municipal,Chadron Municipal,CDR
North America,USA,Chalkyitsik,Chalkyitsik,CIK
North America,USA,Champaign,Champaign,CMI
North America,USA,Charles M Schulz Sonoma Co,Charles M Schulz Sonoma Co,STS
North America,USA,Charleston Afb,Charleston Afb,CHS
North America,USA,Charlotte County-Punta Gorda,Charlotte County-Punta Gorda,PGD
North America,USA,Charlotte Douglas,Charlotte Douglas,CLT
North America,USA,Charlottesville,Charlottesville,CHO
North America,USA,Chefornak Sea Plane Base,Chefornak Sea Plane Base,CYF
North America,USA,Cherry Capital,Cherry Capital,TVC
North America,USA,Chevak,Chevak,VAK
