arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
PVG,2026-02-15,13:15,HO1026,Juneyao Airlines,Duration: 2h 5m,"619 miles, 996 km",Airbus A320,159,3U 4418 /CA 3206 /MF 7805 /MU 3611 /CZ 21 /ZH 5012,Meal (none specific)
PVG,2026-02-15,13:20,FM9396,Shanghai Airlines,Duration: 1h 50m,"556 miles, 895 km",Boeing 737-500 (winglets) Passenger,166,MU 8472,Meal (none specific)
PVG,2026-02-15,13:20,HO2368,Juneyao Airlines,Duration: 2h 20m,"828 miles, 1332 km",Airbus A320,159,,Meal (none specific)
PVG,2026-02-15,13:20,HU7613,Hainan Airlines,Duration: 2h 25m,"685 miles, 1102 km",Boeing 737-800 Passenger,179,Y8 7613,Meal (none specific)
PVG,2026-02-15,13:25,MU5624,China Eastern,Duration: 2h 5m,"543 miles, 874 km",Boeing 737-500 (winglets) Passenger,168,MF 3902 /QF 4292,Meal (none specific)
PVG,2026-02-15,13:25,MU5044,China Eastern,Duration: 1h 50m,"501 miles, 806 km",Airbus A320neo,158,FM 3086 /KE 5875,Meal (none specific)
PVG,2026-02-15,13:25,MU5692,China Eastern,Duration: 2h 15m,"734 miles, 1181 km",Airbus A350-900,288,HO 5719 /MF 3954,Meal (none specific)
PVG,2026-02-15,13:30,CX376,Cathay Pacific,Duration: 2h 45m,"784 miles, 1261 km",Airbus A330-300,286,,Meal (none specific)
PVG,2026-02-15,13:30,CZ5645,China Southern,Duration: 5h 0m,"2068 miles, 3327 km",Boeing 737-800 Passenger,172,,Meal (none specific)
PVG,2026-02-15,13:30,HO1184,Juneyao Airlines,Duration: 2h 35m,"734 miles, 1181 km",Airbus A320,159,3U 4492 /CZ 107 /MF 7751 /MU 3697 /ZH 5098 /AY 3160,Meal (none specific)
PVG,2026-02-15,13:30,MU708,China Eastern,Duration: 10h 30m,"5170 miles, 8319 km",Airbus A330-200,234,,Meal (none specific)
PVG,2026-02-15,13:30,MU5154,China Eastern,Duration: 2h 0m,"685 miles, 1102 km",Airbus A321,177,MF 3568 /DL 6468 /EY 5926,Meal (none specific)
PVG,2026-02-15,13:35,9C8952,Spring Airlines,Duration: 2h 5m,"423 miles, 681 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,13:35,CZ314,China Southern,Duration: 2h 20m,"513 miles, 825 km",Airbus A321,188,,Meal (none specific)
PVG,2026-02-15,13:35,FM874,Shanghai Airlines,Duration: 2h 35m,"817 miles, 1315 km",Boeing 737-500 (winglets) Passenger,166,MU 8620 /JL 5790,Meal (none specific)
PVG,2026-02-15,13:35,FM9410,Shanghai Airlines,Duration: 2h 35m,"1011 miles, 1627 km",Boeing 737 Mixed Configuration,76,MU 8478,Meal (none specific)
PVG,2026-02-15,13:35,HO2350,Juneyao Airlines,Duration: 2h 50m,"917 miles, 1475 km",Airbus A320,159,,Meal (none specific)
PVG,2026-02-15,13:40,FM9222,Shanghai Airlines,Duration: 4h 35m,"2068 miles, 3327 km",Boeing 737 Mixed Configuration,76,MU 8368 /DL 6528,Meal (none specific)
PVG,2026-02-15,13:40,MU6774,China Eastern,Duration: 2h 40m,"1095 miles, 1762 km",Airbus A319,122,,Meal (none specific)
PVG,2026-02-15,13:40,MU5588,China Eastern,Duration: 1h 45m,"435 miles, 700 km",Boeing 737-500 (winglets) Passenger,168,MF 3874 /HO 5683 /AF 9283,Meal (none specific)
PVG,2026-02-15,13:45,CZ3657,China Southern,Duration: 2h 45m,"965 miles, 1553 km",Boeing 737-800 Passenger,172,,Meal (none specific)
PVG,2026-02-15,13:45,FM878,Shanghai Airlines,Duration: 5h 15m,"2279 miles, 3667 km",Boeing 737 Mixed Configuration,76,MU 8598,Meal (none specific)
PVG,2026-02-15,13:45,HO1230,Juneyao Airlines,Duration: 1h 55m,"556 miles, 895 km",Airbus A320,159,CA 3268 /MF 7777 /MU 3727 /CZ 137 /ZH 5128,Meal (none specific)
PVG,2026-02-15,13:45,HO1258,Juneyao Airlines,Duration: 2h 10m,"655 miles, 1054 km",Airbus A320neo,164,3U 4538 /MF 7705 /MU 3747 /CZ 157 /ZH 5148 /AY 3162,Meal (none specific)
PVG,2026-02-15,13:45,MU272,China Eastern,Duration: 3h 50m,"1123 miles, 1807 km",Airbus A321,177,FM 3044 /JL 5603,Meal (none specific)
PVG,2026-02-15,13:45,MU6580,China Eastern,Duration: 2h 50m,"1202 miles, 1934 km",Airbus A320neo,158,MF 7596 /EY 5923,Meal (none specific)
PVG,2026-02-15,13:50,CA8588,Air China,Duration: 3h 5m,"1098 miles, 1767 km",Airbus A320,158,SC 5436 /ZH 4978,Meal (none specific)
PVG,2026-02-15,13:50,FM9346,Shanghai Airlines,Duration: 1h 50m,"537 miles, 864 km",Boeing 737-500 (winglets) Passenger,166,MU 8442 /DL 6547,Meal (none specific)
PVG,2026-02-15,13:50,MU772,China Eastern,Duration: 10h 50m,"5566 miles, 8956 km",Boeing 777-300ER,316,,Meal (none specific)
