date,day_name,airport,direction,time,flight,airline,duration,time_range,distance,aircraft,seats,codeshare,entertainment,meals,uid,airline_source,page_date_verified,scraped_at
18/2/2026,Wednesday,CAN,arrival,,CZ3334,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ8214,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3806,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3440,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ6068,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CA1315,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3900,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3284,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ8246,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3379,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3830,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3387,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ322,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ8928,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3742,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3384,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3295,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ6242,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
