date,day_name,airport,direction,time,flight,airline,duration,time_range,distance,aircraft,seats,codeshare,meals,uid,airline_source,page_date_verified,scraped_at
15/3/2026,Sunday,BKK,arrival,11:35,PG216,Bangkok Airways,Duration: 1h 25m,10:10 - 11:35,"373 miles, 600 km",Airbus A319,133,AY 6284 /BR 3978 /CI 9840 /CX 6522 /EK 4479 /EY 7711 /GA 9575 /GF 4413 /HX 3802 /JL 5978 /KC 1216 /LX 4151 /LY 8478 /MH 4950 /PR 3701 /QF 3477 /QR 4350,Meal (none specific),260315_PG216_10101135,text,True,2026-02-14T16:12:02.454591
15/3/2026,Sunday,BKK,arrival,11:40,CZ8355,China Southern,Duration: 3h 25m,09:15 - 11:40,"1251 miles, 2013 km",Boeing 737-800 Passenger,172,,Meal (none specific),260315_CZ8355_09151140,text,True,2026-02-14T16:12:02.700866
15/3/2026,Sunday,BKK,arrival,11:40,TG551,Thai Airways,Duration: 1h 25m,10:15 - 11:40,"447 miles, 719 km",Airbus A320,156,LY 8286 /WY 5903,Meal (none specific),260315_TG551_10151140,text,True,2026-02-14T16:12:02.951443
15/3/2026,Sunday,BKK,arrival,11:40,ZH281,Shenzhen Airlines,Duration: 4h 25m,08:15 - 11:40,"1615 miles, 2599 km",Airbus A320,162,CA 3771,Meal (none specific),260315_ZH281_08151140,text,True,2026-02-14T16:12:03.200154
15/3/2026,Sunday,BKK,arrival,11:45,EY404,Etihad,Duration: 6h 25m,02:20 - 11:45,"3103 miles, 4993 km",Airbus A321neo,172,MS 8124 /PG 4019 /UX 2716,Meal (none specific),260315_EY404_02201145,text,True,2026-02-14T16:12:03.449922
15/3/2026,Sunday,BKK,arrival,11:45,TG131,Thai Airways,Duration: 1h 30m,10:15 - 11:45,"439 miles, 706 km",Airbus A320,156,BR 3421 /GF 6391 /MH 5627 /TK 8393,Meal (none specific),260315_TG131_10151145,text,True,2026-02-14T16:12:03.694967
15/3/2026,Sunday,BKK,arrival,11:50,JD419,Capital Airlines,Duration: 4h 45m,08:05 - 11:50,"1706 miles, 2745 km",Airbus A320,169,,Meal (none specific),260315_JD419_08051150,text,True,2026-02-14T16:12:03.943288
15/3/2026,Sunday,BKK,arrival,11:50,PG272,Bangkok Airways,Duration: 1h 35m,10:15 - 11:50,"420 miles, 676 km",Airbus A320,162,AY 6896 /BR 3976 /CI 9852 /EK 4519 /EY 7659 /GA 9565 /GF 4419 /HX 3824 /JL 5972 /KC 1272 /MH 4932 /PR 3751 /QF 3453 /QR 4376 /TG 5622 /TK 4484 /VN 3988,Meal (none specific),260315_PG272_10151150,text,True,2026-02-14T16:12:04.192080
15/3/2026,Sunday,BKK,arrival,11:50,VZ301,Vietjet Thailand,Duration: 1h 30m,10:20 - 11:50,"420 miles, 676 km",Airbus A320,180,,Meal (none specific),260315_VZ301_10201150,text,True,2026-02-14T16:12:04.440411
15/3/2026,Sunday,BKK,arrival,11:50,VZ721,Vietjet Thailand,Duration: 1h 15m,10:35 - 11:50,"325 miles, 523 km",Airbus A320,180,,Meal (none specific),260315_VZ721_10351150,text,True,2026-02-14T16:12:04.688958
15/3/2026,Sunday,BKK,arrival,11:55,TG204,Thai Airways,Duration: 1h 30m,10:25 - 11:55,"420 miles, 676 km",Airbus A320,156,LY 8414 /MH 5795,Meal (none specific),260315_TG204_10251155,text,True,2026-02-14T16:12:04.937260
15/3/2026,Sunday,BKK,arrival,11:55,TG663,Thai Airways,Duration: 4h 40m,08:15 - 11:55,"1809 miles, 2911 km",Airbus A350-900,327,PG 4840,Meal (none specific),260315_TG663_08151155,text,True,2026-02-14T16:12:05.187481
15/3/2026,Sunday,BKK,arrival,12:00,PR730,PAL,Duration: 3h 35m,09:25 - 12:00,"1366 miles, 2198 km",Boeing 777-300,514,PG 4392,Meal (none specific),260315_PR730_09251200,text,True,2026-02-14T16:12:05.435967
15/3/2026,Sunday,BKK,arrival,12:05,6E1061,IndiGo,Duration: 3h 40m,06:55 - 12:05,"1390 miles, 2237 km",Airbus A320neo,180,,Meal (none specific),260315_6E1061_06551205,text,True,2026-02-14T16:12:05.693341
15/3/2026,Sunday,BKK,arrival,12:05,EK384,Emirates,Duration: 6h 0m,03:05 - 12:05,"3064 miles, 4930 km",Airbus A380-800 Passenger,510,AC 7603 /DE 5909 /QF 8384 /TP 6372,Meal (none specific),260315_EK384_03051205,text,True,2026-02-14T16:12:05.950114
15/3/2026,Sunday,BKK,arrival,12:05,FD4203,Thai AirAsia,Duration: 1h 35m,10:30 - 12:05,"469 miles, 755 km",Airbus A320,180,,Meal (none specific),260315_FD4203_10301205,text,True,2026-02-14T16:12:06.195798
15/3/2026,Sunday,BKK,arrival,12:15,QR834,Qatar Airways,Duration: 6h 35m,01:40 - 12:15,"3299 miles, 5308 km",Airbus A380-800 Passenger,517,IB 6217 /J2 6834 /B6 6636 /AS 5766 /WB 1626 /AA 8266 /BA 6192,Meal (none specific),260315_QR834_01401215,text,True,2026-02-14T16:12:06.443530
15/3/2026,Sunday,BKK,arrival,12:20,MU541,China Eastern,Duration: 4h 45m,08:35 - 12:20,"1809 miles, 2911 km",Airbus A350-900,288,FM 3061 /HO 3515 /KQ 5251,Meal (none specific),260315_MU541_08351220,text,True,2026-02-14T16:12:06.700090
15/3/2026,Sunday,BKK,arrival,12:25,TG561,Thai Airways,Duration: 1h 50m,10:35 - 12:25,"621 miles, 999 km",Airbus A320,156,LY 8290 /OS 8598 /TK 8020 /WY 5913,Meal (none specific),260315_TG561_10351225,text,True,2026-02-14T16:12:06.940094
15/3/2026,Sunday,BKK,arrival,12:25,VZ965,Vietjet Thailand,Duration: 1h 45m,10:40 - 12:25,"526 miles, 846 km",Airbus A320,180,,Meal (none specific),260315_VZ965_10401225,text,True,2026-02-14T16:12:07.194628
15/3/2026,Sunday,BKK,arrival,12:30,CA465,Air China,Duration: 3h 40m,09:50 - 12:30,"1178 miles, 1895 km",Airbus A320neo,158,,Meal (none specific),260315_CA465_09501230,text,True,2026-02-14T16:12:07.441875
15/3/2026,Sunday,BKK,arrival,12:30,ET628,Ethiopian,Duration: 8h 35m,23:55 - 12:30,"4222 miles, 6793 km",Boeing 787-9,315,NH 5344 /OZ 9764 /SQ 6078,Meal (none specific),260315_ET628_23551230,text,True,2026-02-14T16:12:07.694560
15/3/2026,Sunday,BKK,arrival,12:35,JX741,Starlux,Duration: 4h 10m,09:25 - 12:35,"1554 miles, 2500 km",Airbus A350-900,306,,Meal (none specific),260315_JX741_09251235,text,True,2026-02-14T16:12:07.941952
15/3/2026,Sunday,BKK,arrival,12:35,UL404,SriLankan Airlines,Duration: 3h 35m,07:30 - 12:35,"1494 miles, 2404 km",Airbus A321 (sharklets),209,AY 6644 /QF 4242 /8M 5404 /HM 6224,Meal (none specific),260315_UL404_07301235,text,True,2026-02-14T16:12:08.200107
15/3/2026,Sunday,BKK,arrival,12:40,SU620,Aeroflot,Duration: 10h 0m,22:40 - 12:40,"4754 miles, 7649 km",Airbus A330-300,307,,Meal (none specific),260315_SU620_22401240,text,True,2026-02-14T16:12:08.436974
15/3/2026,Sunday,BKK,arrival,12:40,VZ139,Vietjet Thailand,Duration: 1h 25m,11:15 - 12:40,"439 miles, 706 km",Airbus A320,180,,Meal (none specific),260315_VZ139_11151240,text,True,2026-02-14T16:12:08.686887
15/3/2026,Sunday,BKK,arrival,12:40,VZ351,Vietjet Thailand,Duration: 1h 15m,11:25 - 12:40,"334 miles, 537 km",Airbus A320,180,,Meal (none specific),260315_VZ351_11251240,text,True,2026-02-14T16:12:08.933411
15/3/2026,Sunday,BKK,arrival,12:45,9C7501,Spring Airlines,Duration: 3h 10m,10:35 - 12:45,"1178 miles, 1895 km",Airbus A320,180,,Meal (none specific),260315_9C7501_10351245,text,True,2026-02-14T16:12:09.185874
15/3/2026,Sunday,BKK,arrival,12:50,9C7421,Spring Airlines,Duration: 4h 45m,09:05 - 12:50,"1809 miles, 2911 km",Airbus A320,180,,Meal (none specific),260315_9C7421_09051250,text,True,2026-02-14T16:12:09.430998
15/3/2026,Sunday,BKK,arrival,12:50,IX242,Air India Express,Duration: 4h 30m,06:50 - 12:50,"1820 miles, 2928 km",Boeing 737MAX 8 Passenger,165,AI 9245,Meal (none specific),260315_IX242_06501250,text,True,2026-02-14T16:12:09.683188
15/3/2026,Sunday,BKK,arrival,12:55,CZ8099,China Southern,Duration: 3h 25m,10:30 - 12:55,"1066 miles, 1715 km",Boeing 737MAX 8 Passenger,175,3U 7069,Meal (none specific),260315_CZ8099_10301255,text,True,2026-02-14T16:12:09.934792
15/3/2026,Sunday,BKK,arrival,12:55,EK376,Emirates,Duration: 6h 5m,03:50 - 12:55,"3064 miles, 4930 km",Airbus A380-800 Passenger,510,QF 8376 /TG 4506 /TP 6374,Meal (none specific),260315_EK376_03501255,text,True,2026-02-14T16:12:10.184780
15/3/2026,Sunday,BKK,arrival,12:55,TG43,Thai Airways,Duration: 1h 0m,11:55 - 12:55,"236 miles, 380 km",Airbus A320,156,GF 6373,Meal (none specific),260315_TG43_11551255,text,True,2026-02-14T16:12:10.432132
15/3/2026,Sunday,BKK,arrival,13:00,VJ803,VietJet,Duration: 1h 30m,11:30 - 13:00,"447 miles, 719 km",Airbus A321,214,A1 2803 /W2 4803 /H1 2185,Meal (none specific),260315_VJ803_11301300,text,True,2026-02-14T16:12:10.689122
15/3/2026,Sunday,BKK,arrival,13:00,VZ811,Vietjet Thailand,Duration: 6h 5m,08:55 - 13:00,"2327 miles, 3744 km",Airbus A320,180,,Meal (none specific),260315_VZ811_08551300,text,True,2026-02-14T16:12:10.943510
15/3/2026,Sunday,BKK,arrival,13:05,9C6293,Spring Airlines,Duration: 4h 20m,09:45 - 13:05,"1527 miles, 2457 km",Airbus A320,180,,Meal (none specific),260315_9C6293_09451305,text,True,2026-02-14T16:12:11.192839
15/3/2026,Sunday,BKK,arrival,13:05,CI831,China Airlines,Duration: 4h 0m,10:05 - 13:05,"1554 miles, 2500 km",Airbus A330-300,309,PG 4910,Meal (none specific),260315_CI831_10051305,text,True,2026-02-14T16:12:11.457147
15/3/2026,Sunday,BKK,arrival,13:05,QR836,Qatar Airways,Duration: 6h 35m,02:30 - 13:05,"3299 miles, 5308 km",Airbus A380-800 Passenger,517,WB 1729 /AA 8272 /AS 5768 /B6 6605 /BA 6346 /IB 6256 /J2 6836,Meal (none specific),260315_QR836_02301305,text,True,2026-02-14T16:12:11.719652
15/3/2026,Sunday,BKK,arrival,13:05,T5647,Turkmenistan Airlines,Duration: 6h 20m,04:45 - 13:05,"3103 miles, 4993 km",Boeing 777-300,320,,Meal (none specific),260315_T5647_04451305,text,True,2026-02-14T16:12:11.972600
15/3/2026,Sunday,BKK,arrival,13:10,BS217,US-Bangla Airlines,Duration: 2h 50m,09:20 - 13:10,"979 miles, 1575 km",Boeing 737-800 Passenger,167,,Meal (none specific),260315_BS217_09201310,text,True,2026-02-14T16:12:12.256634
15/3/2026,Sunday,BKK,arrival,13:10,GA866,Garuda Indonesia,Duration: 3h 40m,09:30 - 13:10,"1434 miles, 2307 km",Boeing 737-800 Passenger,162,PG 4300 /SV 6376 /EY 8106 /6E 3655,Meal (none specific),260315_GA866_09301310,text,True,2026-02-14T16:12:12.505670
15/3/2026,Sunday,BKK,arrival,13:10,VN605,Vietnam Airlines,Duration: 1h 35m,11:35 - 13:10,"447 miles, 719 km",Airbus A321,184,LY 8252 /K6 3605 /PG 4294 /SV 6773,Meal (none specific),260315_VN605_11351310,text,True,2026-02-14T16:12:12.753003
15/3/2026,Sunday,BKK,arrival,13:15,AY143,Finnair,Duration: 11h 20m,20:55 - 13:15,"4941 miles, 7950 km",Airbus A350-900,300,,Meal (none specific),260315_AY143_20551315,text,True,2026-02-14T16:12:13.001083
