arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
BKK,2026-02-13,17:55,VN619,Vietnam Airlines,Duration: 2h 5m,"621 miles, 999 km",Airbus A321,184,LY 8244 /K6 3619 /PG 4286 /KL 3087 /KQ 5303 /SK 8252,Meal (none specific)
BKK,2026-02-13,17:55,VZ343,Vietjet Thailand,Duration: 1h 25m,"406 miles, 653 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,18:00,EY406,Etihad,Duration: 6h 15m,"3103 miles, 4993 km",Boeing 777-300ER,373,GA 9378 /MS 8130 /PG 4015 /UX 2733 /VN 3726,Meal (none specific)
BKK,2026-02-13,18:05,CA959,Air China,Duration: 5h 25m,"2073 miles, 3335 km",Boeing 777-300ER,333,SC 129,Meal (none specific)
BKK,2026-02-13,18:05,EK370,Emirates,Duration: 6h 10m,"3064 miles, 4930 km",Boeing 777-300ER,355,QF 8370,Meal (none specific)
BKK,2026-02-13,18:05,HU721,Hainan Airlines,Duration: 2h 5m,"778 miles, 1252 km",Boeing 737-800 Passenger,179,,Meal (none specific)
BKK,2026-02-13,18:10,VZ983,Vietjet Thailand,Duration: 1h 20m,"324 miles, 521 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,18:15,8M331,MAI,Duration: 1h 20m,"381 miles, 613 km",Airbus A319,134,UL 3301,Meal (none specific)
BKK,2026-02-13,18:15,CX701,Cathay Pacific,Duration: 3h 10m,"1055 miles, 1697 km",Boeing 777-300,438,BA 4565 /OM 5639 /PG 4560 /QR 3451,Meal (none specific)
BKK,2026-02-13,18:15,CZ8323,China Southern,Duration: 3h 5m,"1062 miles, 1709 km",Airbus A321,188,,Meal (none specific)
BKK,2026-02-13,18:15,TG328,Thai Airways,Duration: 3h 5m,"1288 miles, 2072 km",Airbus A320,156,,Meal (none specific)
BKK,2026-02-13,18:15,TG320,Thai Airways,Duration: 3h 30m,"1393 miles, 2241 km",Airbus A330-300,281,,Meal (none specific)
BKK,2026-02-13,18:15,VZ567,Vietjet Thailand,Duration: 4h 0m,"1554 miles, 2500 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,18:20,3U3771,Sichuan Airlines,Duration: 3h 30m,"1176 miles, 1892 km",Airbus A320,165,,Meal (none specific)
BKK,2026-02-13,18:20,PG162,Bangkok Airways,Duration: 1h 15m,"290 miles, 467 km",Airbus A319,133,BA 2181 /BR 3902 /CI 9822 /EY 7626 /KC 1162 /PR 3749 /QR 4353 /SQ 5398 /TG 5586 /TK 4452 /VN 3074 /WY 5849,Meal (none specific)
BKK,2026-02-13,18:25,FM839,Shanghai Airlines,Duration: 4h 45m,"1809 miles, 2911 km",Boeing 737 Mixed Configuration,76,MU 8609,Meal (none specific)
BKK,2026-02-13,18:25,QR828,Qatar Airways,Duration: 6h 35m,"3299 miles, 5308 km",Airbus A380-800 Passenger,517,WB 1625 /AA 8229 /AS 5764 /B6 6600 /BA 4493 /IB 6252 /J2 6828,Meal (none specific)
BKK,2026-02-13,18:25,TG113,Thai Airways,Duration: 1h 20m,"373 miles, 600 km",Airbus A320,156,BR 3439 /LH 9709 /LY 8380,Meal (none specific)
BKK,2026-02-13,18:30,KY8369,Kunming Airlines,Duration: 2h 25m,"806 miles, 1297 km",Boeing 737-800 Passenger,160,,Meal (none specific)
BKK,2026-02-13,18:30,VN607,Vietnam Airlines,Duration: 1h 25m,"447 miles, 719 km",Airbus A321,184,LY 8250 /K6 3607 /PG 4296 /KL 3086 /KQ 5302 /SK 8250,Meal (none specific)
BKK,2026-02-13,18:30,ZH307,Shenzhen Airlines,Duration: 3h 0m,"1062 miles, 1709 km",Airbus A320,162,CA 7997 /TG 6463,Meal (none specific)
BKK,2026-02-13,18:35,FD4121,Thai AirAsia,Duration: 1h 15m,"373 miles, 600 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,18:40,EK372,Emirates,Duration: 6h 10m,"3064 miles, 4930 km",Airbus A380-800 Passenger,510,BT 5811 /QF 8372 /TP 6362,Meal (none specific)
BKK,2026-02-13,18:40,TG216,Thai Airways,Duration: 1h 30m,"420 miles, 676 km",Airbus A320,156,LY 8412,Meal (none specific)
BKK,2026-02-13,18:40,VZ109,Vietjet Thailand,Duration: 1h 20m,"373 miles, 600 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,18:45,EY420,Etihad,Duration: 6h 15m,"3103 miles, 4993 km",Airbus A321neo,172,PG 4009,Meal (none specific)
BKK,2026-02-13,18:45,PG308,Bangkok Airways,Duration: 1h 0m,"144 miles, 232 km",ATR 42 / ATR 72,70,AY 6906 /BR 3954 /CI 9738 /EK 4539 /EY 7731 /JL 5994 /KC 1308 /KL 3725 /LH 4635 /LY 8456 /OS 8676 /PR 3721 /QR 4392 /TG 5692 /TK 4502 /WY 5897,Meal (none specific)
BKK,2026-02-13,18:45,PG146,Bangkok Airways,Duration: 1h 20m,"290 miles, 467 km",Airbus A319,133,BR 3906 /CI 9754 /CX 6532 /EK 4433 /EY 7761 /GF 4487 /HX 3868 /KC 1146 /MH 4906 /PR 3757 /QR 4394 /SQ 5410 /TG 5925 /TK 4426 /VN 3932 /WY 5856,Meal (none specific)
BKK,2026-02-13,18:45,S76261,S7 Airlines,Duration: 7h 25m,"2785 miles, 4481 km",Boeing 737-800 (winglets) Passenger/BBJ2,176,,Meal (none specific)
BKK,2026-02-13,18:45,SQ714,Singapore Airlines,Duration: 2h 35m,"884 miles, 1422 km",Boeing 787,337,NZ 3464 /PG 4710 /SK 8021 /VA 5724,Meal (none specific)
BKK,2026-02-13,18:50,PG296,Bangkok Airways,Duration: 1h 30m,"406 miles, 653 km",Airbus A319,133,AY 6888 /BA 2197 /BR 3980 /CI 9620 /EK 4509 /EY 7617 /JL 5902 /KL 3741 /LH 4645 /LY 8454 /OS 8710 /PR 3733 /QR 4344 /TG 5646 /VN 3882 /WY 5825,Meal (none specific)
BKK,2026-02-13,18:50,PG214,Bangkok Airways,Duration: 1h 20m,"254 miles, 409 km",ATR 42 / ATR 72,70,AY 6914 /CI 9614 /EK 4477 /EY 7685 /JL 5912 /KL 3752 /LH 4637 /LY 8458 /OS 8662 /PR 3717 /QR 4348 /TG 5677 /TK 4450,Meal (none specific)
BKK,2026-02-13,18:55,5J941,Cebu Pacific,Duration: 3h 30m,"1336 miles, 2150 km",Airbus A321neo,236,,Meal (none specific)
BKK,2026-02-13,18:55,CZ8019,China Southern,Duration: 3h 5m,"1066 miles, 1715 km",Airbus A320neo,166,3U 7007,Meal (none specific)
BKK,2026-02-13,18:55,PG164,Bangkok Airways,Duration: 1h 15m,"290 miles, 467 km",Airbus A319,133,BA 2183 /BR 3910 /CI 9828 /EK 4419 /EY 7628 /KC 1164 /PR 3787 /QR 4405 /SQ 5400 /TG 5955 /TK 4408 /VN 3766 /WY 5852,Meal (none specific)
BKK,2026-02-13,19:00,TG29,Thai Airways,Duration: 1h 5m,"298 miles, 479 km",Airbus A320,156,TK 8487,Meal (none specific)
BKK,2026-02-13,19:00,UO702,HK Express,Duration: 3h 5m,"1055 miles, 1697 km",Airbus A320neo,188,,Meal (none specific)
BKK,2026-02-13,19:00,VZ307,Vietjet Thailand,Duration: 1h 30m,"420 miles, 676 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,19:05,TR616,Scoot,Duration: 2h 30m,"884 miles, 1422 km",Boeing 787-9,375,SQ 8616,Meal (none specific)
BKK,2026-02-13,19:05,VJ805,VietJet,Duration: 1h 30m,"447 miles, 719 km",Airbus A321,214,A1 2805 /W2 4805 /H1 4353,Meal (none specific)
BKK,2026-02-13,19:20,MH780,Malaysia Airlines,Duration: 2h 10m,"762 miles, 1226 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,AY 6620 /FY 7484 /PG 4508 /QR 5416 /RJ 3254 /TG 4704,Meal (none specific)
BKK,2026-02-13,19:25,QR826,Qatar Airways,Duration: 6h 35m,"3299 miles, 5308 km",Boeing 777-300ER,358,WB 1725 /AA 8299 /AS 5718 /B6 6608 /BA 2316 /IB 6332 /J2 6826,Meal (none specific)
BKK,2026-02-13,19:25,TG432,Thai Airways,Duration: 4h 15m,"1848 miles, 2973 km",Airbus A350-900,327,OZ 9414,Meal (none specific)
BKK,2026-02-13,19:30,JQ65,Jetstar,Duration: 9h 0m,"4536 miles, 7298 km",Boeing 787-8,335,6E 3955 /AY 6438,Meal (none specific)
BKK,2026-02-13,19:35,AI2337,Air India,Duration: 4h 35m,"1894 miles, 3047 km",Airbus A320neo,165,BR 3704,Meal (none specific)
BKK,2026-02-13,19:35,FD4109,Thai AirAsia,Duration: 1h 20m,"373 miles, 600 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,19:35,KY8367,Kunming Airlines,Duration: 2h 25m,"806 miles, 1297 km",Boeing 737-800 Passenger,160,,Meal (none specific)
BKK,2026-02-13,19:35,QV445,Lao Airlines,Duration: 1h 0m,"322 miles, 518 km",Airbus A320,150,PG 4445,Meal (none specific)
BKK,2026-02-13,19:40,8M350,MAI,Duration: 1h 20m,"381 miles, 613 km",Airbus A320,180,UL 3316,Meal (none specific)
BKK,2026-02-13,19:40,TG466,Thai Airways,Duration: 9h 10m,"4581 miles, 7371 km",Airbus A350-900,327,LH 9737 /LY 8420 /OS 8636 /TK 8003 /WY 5917,Meal (none specific)
BKK,2026-02-13,19:40,VZ203,Vietjet Thailand,Duration: 1h 10m,"291 miles, 468 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,19:45,PG166,Bangkok Airways,Duration: 1h 15m,"290 miles, 467 km",Airbus A319,133,AY 6926 /BA 2185 /BR 3972 /CI 9844 /EY 7746 /HX 3782 /KC 1166 /MH 4890 /PR 3759 /QR 4368 /SQ 5466 /TG 5763 /TK 4412 /VN 3076,Meal (none specific)
BKK,2026-02-13,19:45,TG631,Thai Airways,Duration: 3h 30m,"1432 miles, 2304 km",Airbus A320,156,TK 8497,Meal (none specific)
